"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"102","","","","C","","00:04:11:15","00:04:11:16","00:00:00:01","00:04:11:15","00:04:11:16","","","","","","","0.000","","Pink","TagOn.Activation #46","",""
"103","","","","C","","00:04:14:21","00:04:14:22","00:00:00:01","00:04:14:21","00:04:14:22","","","","","","","0.000","","Green","TagOn #47","",""
"104","","","","C","","00:04:15:12","00:04:15:13","00:00:00:01","00:04:15:12","00:04:15:13","","","","","","","0.000","","Pink","TagOn.Activation #47","",""
"105","","","","C","","00:04:17:02","00:04:17:03","00:00:00:01","00:04:17:02","00:04:17:03","","","","","","","0.000","","Green","TagOn #48","",""
"106","","","","C","","00:04:17:14","00:04:17:15","00:00:00:01","00:04:17:14","00:04:17:15","","","","","","","0.000","","Pink","TagOn.Activation #48","",""
"107","","","","C","","00:04:19:11","00:04:19:12","00:00:00:01","00:04:19:11","00:04:19:12","","","","","","","0.000","","Green","TagOn #49","",""
"108","","","","C","","00:04:20:15","00:04:20:16","00:00:00:01","00:04:20:15","00:04:20:16","","","","","","","0.000","","Pink","TagOn.Activation #49","",""
"109","","","","C","","00:04:22:09","00:04:22:10","00:00:00:01","00:04:22:09","00:04:22:10","","","","","","","0.000","","Green","TagOn #50","",""
"110","","","","C","","00:04:23:14","00:04:23:15","00:00:00:01","00:04:23:14","00:04:23:15","","","","","","","0.000","","Pink","TagOn.Activation #50","",""
"111","","","","C","","00:04:25:02","00:04:25:03","00:00:00:01","00:04:25:02","00:04:25:03","","","","","","","0.000","","Green","TagOn #51","",""
"112","","","","C","","00:04:25:13","00:04:25:14","00:00:00:01","00:04:25:13","00:04:25:14","","","","","","","0.000","","Pink","TagOn.Activation #51","",""
"113","","","","C","","00:04:27:04","00:04:27:05","00:00:00:01","00:04:27:04","00:04:27:05","","","","","","","0.000","","Red","Error-start #5","",""
"114","","","","C","","00:04:30:05","00:04:30:06","00:00:00:01","00:04:30:05","00:04:30:06","","","","","","","0.000","","Red","Error-end #5","",""
"115","","","","C","","00:04:30:19","00:04:30:20","00:00:00:01","00:04:30:19","00:04:30:20","","","","","","","0.000","","Green","TagOn #52","",""
"116","","","","C","","00:04:32:09","00:04:32:10","00:00:00:01","00:04:32:09","00:04:32:10","","","","","","","0.000","","Pink","TagOn.Activation #52","",""
"117","","","","C","","00:04:35:18","00:04:35:19","00:00:00:01","00:04:35:18","00:04:35:19","","","","","","","0.000","","Green","TagOn #53","",""
